,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,"not_us_citizen(abs, people)",geoid,unemployed%,median_houshold_income,mean_houshold_income,total_housing_units,avg_year_built,occupied_housing_units%,vacant_housing_units%,total_population,median_age,not_us_citizen%
1491,2.88,35.919055649241145,30.944350758853286,8.768971332209109,1.6020236087689714,856,36005041100,12.2,36681,45446,1296,1948.5123456790122,91.5,8.5,3416,30.9,25.05854800936768
1492,2.66,37.21727210418095,34.098697738176824,5.20904729266621,0.0,1878,36005041300,8.1,46627,59813,3080,1940.1889610389608,94.7,5.3,7897,31.7,23.781182727618084
1493,2.9,37.989503431570455,35.56721840936618,8.679854662898666,4.400484457004442,1478,36005041900,14.6,33759,48461,2604,1937.7012288786482,95.1,4.9,7238,33.2,20.420005526388504
1494,2.48,38.86500429922614,33.79191745485813,9.286328460877042,0.0,374,36081051500,4.1,72298,87086,1250,1946.2920000000001,93.0,7.0,2881,42.6,12.98160360985769
1495,3.69,13.425129087779693,8.605851979345955,4.130808950086059,0.0,326,36081051600,25.8,51375,73621,634,1944.326498422713,91.6,8.4,2141,42.2,15.226529659037832
1496,3.83,23.033707865168537,20.0374531835206,8.426966292134832,5.805243445692883,155,36081052600,10.8,64615,81426,565,1936.570796460177,94.5,5.5,2043,31.6,7.586882036221243
1497,3.17,18.857901726427624,16.33466135458167,11.288180610889773,1.859229747675963,394,36081055400,5.7,67344,76820,777,1938.9401544401544,96.9,3.1,2387,41.3,16.5060745705907
1498,3.25,16.60649819494585,14.440433212996387,8.844765342960287,7.9422382671480145,144,36081053200,9.5,89833,101019,633,1943.528436018957,87.5,12.5,1809,42.3,7.960199004975125
1499,4.35,4.634146341463413,3.658536585365853,2.4390243902439024,4.634146341463413,381,36081053800,8.9,95714,96021,447,1945.0704697986575,91.7,8.3,1782,36.0,21.38047138047138
1500,3.75,24.502402196293755,16.403568977350723,7.412491420727522,0.0,1539,36081054700,4.5,62991,79153,1556,1940.5469151670954,93.6,6.4,5459,30.5,28.19197655248214
1501,2.78,30.141287284144425,18.131868131868128,8.869701726844584,0.0,766,36081055700,7.3,54167,62994,1424,1939.7563202247188,89.5,10.5,3547,33.3,21.59571468846913
1502,3.49,11.752988047808767,9.760956175298805,7.370517928286853,1.195219123505976,206,36081055800,1.7,92870,97173,521,1932.5998080614206,96.4,3.6,1753,47.0,11.751283513976041
1503,3.38,34.43037974683544,16.455696202531644,3.5443037974683547,12.658227848101266,335,36081055900,9.0,60688,64885,447,1963.840044742729,88.4,11.6,1335,29.4,25.0936329588015
1504,2.3,18.51851851851852,18.51851851851852,0.0,0.0,5,36081056100,0.0,160250,139004,27,1985.9814814814813,100.0,0.0,62,40.2,8.064516129032258
1505,3.01,23.33333333333333,18.571428571428573,10.476190476190476,1.1111111111111112,362,36081057900,5.4,59167,68656,697,1928.6965566714487,90.4,9.6,1898,37.5,19.072708113804005
1506,3.0,37.70070648683366,23.82787411689145,6.037251123956327,3.6608863198458574,1304,36081058900,6.3,46250,60705,1710,1943.4561403508767,91.1,8.9,4670,31.4,27.922912205567453
1507,3.32,28.473804100227788,24.829157175398635,19.362186788154894,5.922551252847381,179,36081059600,7.7,70469,100476,477,1937.235849056604,92.0,8.0,1462,42.5,12.243502051983585
1508,3.07,29.781021897810216,23.06569343065693,7.153284671532846,1.7518248175182485,222,36081060300,4.6,91250,124676,748,1947.6617647058827,91.6,8.4,2104,44.2,10.551330798479087
1509,2.68,35.311572700296736,30.712166172106823,9.050445103857568,1.1869436201780417,117,36081065900,4.7,85714,107318,748,1947.735294117647,90.1,9.9,1807,41.1,6.474820143884892
1510,2.15,52.859723058398565,45.6953642384106,16.676700782661047,1.0836845273931366,894,36081067900,6.0,48977,64602,1719,1950.5558464223386,96.6,3.4,3928,47.6,22.75967413441955
1511,2.13,50.98259404828747,39.921392476137,11.678832116788321,1.0106681639528354,966,36081069701,8.0,64861,75634,1898,1958.6522655426768,93.8,6.2,3807,36.9,25.374310480693456
